firm,Ticker,Income Before Tax,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Interest Expense,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Net Income From Continuing Ops,Profit Margin(%),EBIT Margin,SG&A to Revenue Ratio,Tax rate
Eastman Chemical,EMN,"? 10,70,00,000.00","? 14,60,00,000.00","? 16,50,00,000.00","? 68,10,00,000.00","? 45,30,00,000.00","? 45,30,00,000.00","? 5,10,00,000.00","? 3,70,00,000.00","? 2,65,30,00,000.00","? 2,20,00,00,000.00","? 1,97,20,00,000.00","? 14,40,00,000.00",-21.44%,66.52%,24.23%,-36.45%
Eastman Chemical,EMN,"? 33,90,00,000.00","? 27,40,00,000.00","? 14,80,00,000.00","? 60,20,00,000.00","? 39,60,00,000.00","? 39,60,00,000.00","? 5,10,00,000.00","? 6,20,00,000.00","? 2,40,90,00,000.00","? 2,01,30,00,000.00","? 1,80,70,00,000.00","? 27,70,00,000.00",45.51%,65.78%,24.58%,19.17%
Eastman Chemical,EMN,"? 2,50,00,000.00","? 3,20,00,000.00","? 38,30,00,000.00","? 52,70,00,000.00","? 8,70,00,000.00","? 8,70,00,000.00","? 5,20,00,000.00","? 90,00,000.00","? 2,18,60,00,000.00","? 2,09,90,00,000.00","? 1,65,90,00,000.00","? 3,40,00,000.00",6.07%,16.51%,72.68%,-28.00%
Eastman Chemical,EMN,"? 19,00,00,000.00","? 16,10,00,000.00","? 13,50,00,000.00","? 50,80,00,000.00","? 31,70,00,000.00","? 31,70,00,000.00","? 5,40,00,000.00","? 2,50,00,000.00","? 2,12,20,00,000.00","? 1,80,50,00,000.00","? 1,61,40,00,000.00","? 16,50,00,000.00",31.69%,62.40%,26.57%,15.26%
Eaton Corporation,ETN,"? 62,00,00,000.00","? 50,60,00,000.00","? 86,00,00,000.00","? 1,67,00,00,000.00","? 65,60,00,000.00","? 65,60,00,000.00","? 12,30,00,000.00","? 11,40,00,000.00","? 5,21,50,00,000.00","? 4,55,90,00,000.00","? 3,54,50,00,000.00","? 50,60,00,000.00",30.30%,39.28%,51.50%,18.39%
Eaton Corporation,ETN,"? 53,80,00,000.00","? 45,80,00,000.00","? 78,00,00,000.00","? 1,50,80,00,000.00","? 58,00,00,000.00","? 58,00,00,000.00","? 12,30,00,000.00","? 7,90,00,000.00","? 4,69,20,00,000.00","? 4,11,20,00,000.00","? 3,18,40,00,000.00","? 45,90,00,000.00",30.37%,38.46%,51.72%,14.87%
Eaton Corporation,ETN,"? 55,30,00,000.00","? 47,50,00,000.00","? 77,30,00,000.00","? 1,50,90,00,000.00","? 59,60,00,000.00","? 59,60,00,000.00","? 16,20,00,000.00","? 7,70,00,000.00","? 4,68,70,00,000.00","? 4,09,10,00,000.00","? 3,17,80,00,000.00","? 47,60,00,000.00",31.48%,39.50%,51.23%,14.10%
Eaton Corporation,ETN,"? 52,50,00,000.00","? 44,60,00,000.00","? 76,00,00,000.00","? 1,47,50,00,000.00","? 58,30,00,000.00","? 58,30,00,000.00","? 9,00,00,000.00","? 7,80,00,000.00","? 4,52,60,00,000.00","? 3,94,30,00,000.00","? 3,05,10,00,000.00","? 44,70,00,000.00",30.24%,39.53%,51.53%,15.05%
eBay,EBAY,"? 40,10,00,000.00","? 10,73,40,00,000.00","? 80,90,00,000.00","? 1,99,60,00,000.00","? 73,20,00,000.00","? 73,20,00,000.00","? 5,80,00,000.00","? 10,70,00,000.00","? 2,66,80,00,000.00","? 1,93,60,00,000.00","? 67,20,00,000.00","? 29,40,00,000.00",537.78%,36.67%,40.53%,-2576.81%
eBay,EBAY,"? 72,40,00,000.00","? 64,10,00,000.00","? 75,70,00,000.00","? 2,03,20,00,000.00","? 87,60,00,000.00","? 87,60,00,000.00","? 6,70,00,000.00","? 15,60,00,000.00","? 2,63,80,00,000.00","? 1,76,20,00,000.00","? 60,60,00,000.00","? 56,80,00,000.00",31.55%,43.11%,37.25%,11.46%
eBay,EBAY,"? 1,10,90,00,000.00","? 84,50,00,000.00","? 1,05,70,00,000.00","? 2,12,60,00,000.00","? 67,70,00,000.00","? 67,70,00,000.00","? 9,40,00,000.00","? 32,80,00,000.00","? 2,86,80,00,000.00","? 2,19,10,00,000.00","? 74,20,00,000.00","? 78,10,00,000.00",39.75%,31.84%,49.72%,23.81%
eBay,EBAY,"? 77,40,00,000.00","? 66,40,00,000.00","? 91,80,00,000.00","? 1,95,00,00,000.00","? 67,90,00,000.00","? 67,90,00,000.00","? 6,70,00,000.00","? 15,30,00,000.00","? 2,60,60,00,000.00","? 1,92,70,00,000.00","? 65,60,00,000.00","? 62,10,00,000.00",34.05%,34.82%,47.08%,14.21%
Ecolab,ECL,"? 39,97,00,000.00","? 31,08,00,000.00","? 83,62,00,000.00","? 1,32,24,00,000.00","? 48,62,00,000.00","? 48,62,00,000.00","? 5,17,00,000.00","? 8,61,00,000.00","? 3,16,27,00,000.00","? 2,67,65,00,000.00","? 1,84,03,00,000.00","? 31,36,00,000.00",23.50%,36.77%,63.23%,22.24%
Ecolab,ECL,"? 26,26,00,000.00","? 19,36,00,000.00","? 84,59,00,000.00","? 1,19,26,00,000.00","? 34,67,00,000.00","? 34,67,00,000.00","? 5,38,00,000.00","? 6,61,00,000.00","? 2,88,50,00,000.00","? 2,53,83,00,000.00","? 1,69,24,00,000.00","? 19,65,00,000.00",16.23%,29.07%,70.93%,26.28%
Ecolab,ECL,"? 37,80,00,000.00","? 30,03,00,000.00","? 79,46,00,000.00","? 1,28,76,00,000.00","? 49,30,00,000.00","? 49,30,00,000.00","? 5,14,00,000.00","? 7,31,00,000.00","? 3,06,53,00,000.00","? 2,57,23,00,000.00","? 1,77,77,00,000.00","? 30,49,00,000.00",23.32%,38.29%,61.71%,20.56%
Ecolab,ECL,"? 29,17,00,000.00","? 24,62,00,000.00","? 78,75,00,000.00","? 1,25,85,00,000.00","? 47,10,00,000.00","? 47,10,00,000.00","? 5,59,00,000.00","? 4,24,00,000.00","? 3,01,86,00,000.00","? 2,54,76,00,000.00","? 1,76,01,00,000.00","? 24,93,00,000.00",19.56%,37.43%,62.57%,15.60%
Edison International,EIX,"? 38,60,00,000.00","? 31,80,00,000.00","? 3,30,00,000.00","? 1,27,80,00,000.00","? 67,20,00,000.00","? 67,20,00,000.00","? 27,50,00,000.00","? 6,80,00,000.00","? 3,31,50,00,000.00","? 2,64,30,00,000.00","? 2,03,70,00,000.00","? 31,80,00,000.00",24.88%,52.58%,-2.58%,17.62%
Edison International,EIX,"? 22,30,00,000.00","? 25,90,00,000.00","? 3,30,00,000.00","? 1,10,30,00,000.00","? 48,50,00,000.00","? 48,50,00,000.00","? 24,80,00,000.00","? 3,60,00,000.00","? 2,96,00,00,000.00","? 2,47,50,00,000.00","? 1,85,70,00,000.00","? 25,90,00,000.00",23.48%,43.97%,-2.99%,-16.14%
Edison International,EIX,"? 57,60,00,000.00","? 52,60,00,000.00","? 36,60,00,000.00","? 1,69,80,00,000.00","? 78,80,00,000.00","? 78,80,00,000.00","? 25,20,00,000.00","? 5,00,00,000.00","? 3,15,70,00,000.00","? 2,36,90,00,000.00","? 1,45,90,00,000.00","? 52,60,00,000.00",30.98%,46.41%,21.55%,8.68%
Edison International,EIX,"? 56,30,00,000.00","? 28,80,00,000.00","? 69,40,00,000.00","? 2,30,10,00,000.00","? 1,03,10,00,000.00","? 1,03,10,00,000.00","? 26,80,00,000.00","? 27,50,00,000.00","? 4,64,40,00,000.00","? 3,61,30,00,000.00","? 2,34,30,00,000.00","? 28,80,00,000.00",-12.52%,44.81%,30.16%,48.85%
Edwards Lifesciences,EW,"? 54,55,00,000.00","? 48,95,00,000.00","? 37,45,00,000.00","? 1,04,17,00,000.00","? 44,19,00,000.00","? 44,19,00,000.00","? 25,00,000.00","? 5,60,00,000.00","? 1,37,60,00,000.00","? 93,41,00,000.00","? 33,43,00,000.00","? 48,95,00,000.00",46.99%,42.42%,35.95%,10.27%
Edwards Lifesciences,EW,"? 38,93,00,000.00","? 33,82,00,000.00","? 33,08,00,000.00","? 92,32,00,000.00","? 38,54,00,000.00","? 38,54,00,000.00","? 25,00,000.00","? 5,11,00,000.00","? 1,21,66,00,000.00","? 83,12,00,000.00","? 29,34,00,000.00","? 33,82,00,000.00",36.63%,41.75%,35.83%,13.13%
Edwards Lifesciences,EW,"? 35,61,00,000.00","? 30,95,00,000.00","? 33,89,00,000.00","? 89,54,00,000.00","? 36,08,00,000.00","? 36,08,00,000.00","? 1,58,00,000.00","? 4,66,00,000.00","? 1,19,17,00,000.00","? 83,09,00,000.00","? 29,63,00,000.00","? 30,95,00,000.00",34.57%,40.29%,37.85%,13.09%
Edwards Lifesciences,EW,"? 36,43,00,000.00","? 32,52,00,000.00","? 30,72,00,000.00","? 85,99,00,000.00","? 35,72,00,000.00","? 35,72,00,000.00","? 8,00,000.00","? 3,91,00,000.00","? 1,14,09,00,000.00","? 78,37,00,000.00","? 28,10,00,000.00","? 32,52,00,000.00",37.82%,41.54%,35.73%,10.73%
Electronic Arts,EA,"? 30,80,00,000.00","? 20,40,00,000.00","? 34,80,00,000.00","? 1,23,60,00,000.00","? 34,50,00,000.00","? 34,50,00,000.00","? 1,40,00,000.00","? 10,40,00,000.00","? 1,55,10,00,000.00","? 1,20,60,00,000.00","? 31,50,00,000.00","? 20,40,00,000.00",16.50%,27.91%,28.16%,33.77%
Electronic Arts,EA,"? 16,50,00,000.00","? 7,60,00,000.00","? 36,10,00,000.00","? 1,02,70,00,000.00","? 18,40,00,000.00","? 18,40,00,000.00","? 2,20,00,000.00","? 8,90,00,000.00","? 1,34,60,00,000.00","? 1,16,20,00,000.00","? 31,90,00,000.00","? 7,60,00,000.00",7.40%,17.92%,35.15%,53.94%
Electronic Arts,EA,"? 24,50,00,000.00","? 21,10,00,000.00","? 36,50,00,000.00","? 1,07,20,00,000.00","? 25,10,00,000.00","? 25,10,00,000.00","? 1,10,00,000.00","? 3,40,00,000.00","? 1,67,30,00,000.00","? 1,42,20,00,000.00","? 60,10,00,000.00","? 21,10,00,000.00",19.68%,23.41%,34.05%,13.88%
Electronic Arts,EA,"? 13,90,00,000.00","? 18,50,00,000.00","? 28,90,00,000.00","? 86,50,00,000.00","? 14,90,00,000.00","? 14,90,00,000.00","? 1,10,00,000.00","? 4,60,00,000.00","? 1,15,10,00,000.00","? 1,00,20,00,000.00","? 28,60,00,000.00","? 18,50,00,000.00",21.39%,17.23%,33.41%,-33.09%
Eli Lilly & Co,LLY,"? 1,47,64,00,000.00","? 1,35,53,00,000.00","? 1,50,26,00,000.00","? 4,92,70,00,000.00","? 1,73,96,00,000.00","? 1,73,96,00,000.00","? 8,78,00,000.00","? 12,11,00,000.00","? 6,80,56,00,000.00","? 5,06,60,00,000.00","? 1,87,86,00,000.00","? 1,35,53,00,000.00",27.51%,35.31%,30.50%,8.20%
Eli Lilly & Co,LLY,"? 2,46,91,00,000.00","? 2,11,68,00,000.00","? 1,49,66,00,000.00","? 5,72,02,00,000.00","? 2,38,56,00,000.00","? 2,38,56,00,000.00","? 8,92,00,000.00","? 35,23,00,000.00","? 7,44,00,00,000.00","? 5,05,44,00,000.00","? 1,71,98,00,000.00","? 2,11,68,00,000.00",37.01%,41.70%,26.16%,14.27%
Eli Lilly & Co,LLY,"? 1,43,72,00,000.00","? 1,20,84,00,000.00","? 1,45,51,00,000.00","? 4,41,42,00,000.00","? 1,49,37,00,000.00","? 1,49,37,00,000.00","? 8,96,00,000.00","? 22,88,00,000.00","? 5,74,06,00,000.00","? 4,24,69,00,000.00","? 1,32,64,00,000.00","? 1,20,84,00,000.00",27.38%,33.84%,32.96%,15.92%
Eli Lilly & Co,LLY,"? 1,64,37,00,000.00","? 1,41,20,00,000.00","? 1,41,27,00,000.00","? 4,27,74,00,000.00","? 1,47,45,00,000.00","? 1,47,45,00,000.00","? 8,83,00,000.00","? 23,17,00,000.00","? 5,49,94,00,000.00","? 4,02,49,00,000.00","? 1,22,20,00,000.00","? 1,41,20,00,000.00",33.01%,34.47%,33.03%,14.10%
Emerson Electric Company,EMR,"? 78,40,00,000.00","? 62,70,00,000.00","? 1,07,30,00,000.00","? 1,98,20,00,000.00","? 84,10,00,000.00","? 84,10,00,000.00","? 4,00,00,000.00","? 15,10,00,000.00","? 4,69,70,00,000.00","? 3,85,60,00,000.00","? 2,71,50,00,000.00","? 63,30,00,000.00",31.63%,42.43%,54.14%,20.03%
Emerson Electric Company,EMR,"? 73,70,00,000.00","? 56,10,00,000.00","? 1,05,40,00,000.00","? 1,86,20,00,000.00","? 78,30,00,000.00","? 78,30,00,000.00","? 4,20,00,000.00","? 16,90,00,000.00","? 4,43,10,00,000.00","? 3,64,80,00,000.00","? 2,56,90,00,000.00","? 56,80,00,000.00",30.13%,42.05%,56.61%,23.88%
Emerson Electric Company,EMR,"? 56,30,00,000.00","? 44,50,00,000.00","? 99,80,00,000.00","? 1,72,30,00,000.00","? 64,40,00,000.00","? 64,40,00,000.00","? 4,20,00,000.00","? 11,10,00,000.00","? 4,16,10,00,000.00","? 3,51,70,00,000.00","? 2,43,80,00,000.00","? 45,20,00,000.00",25.83%,37.38%,57.92%,20.96%
Emerson Electric Company,EMR,"? 76,50,00,000.00","? 72,30,00,000.00","? 94,60,00,000.00","? 1,88,70,00,000.00","? 92,60,00,000.00","? 92,60,00,000.00","? 4,30,00,000.00","? 3,50,00,000.00","? 4,55,80,00,000.00","? 3,63,20,00,000.00","? 2,67,10,00,000.00","? 73,00,00,000.00",38.31%,49.07%,50.13%,5.49%
Enphase Energy,ENPH,"? 16,66,000.00","? 3,16,98,000.00","? 3,66,45,000.00","? 12,29,49,000.00","? 6,44,86,000.00","? 6,44,86,000.00","? 73,29,000.00","? 3,33,64,000.00","? 30,17,54,000.00","? 23,72,68,000.00","? 17,88,05,000.00","? 3,16,98,000.00",25.78%,52.45%,29.81%,2002.64%
Enphase Energy,ENPH,"? 7,13,52,000.00","? 7,29,91,000.00","? 2,70,23,000.00","? 12,19,38,000.00","? 7,91,14,000.00","? 7,91,14,000.00","? 59,01,000.00","? 16,39,000.00","? 26,48,39,000.00","? 18,57,25,000.00","? 14,29,01,000.00","? 7,29,91,000.00",59.86%,64.88%,22.16%,-2.30%
Enphase Energy,ENPH,"? 4,48,45,000.00","? 3,93,62,000.00","? 2,81,70,000.00","? 9,49,81,000.00","? 5,17,59,000.00","? 5,17,59,000.00","? 59,93,000.00","? 54,83,000.00","? 17,85,03,000.00","? 12,67,44,000.00","? 8,35,22,000.00","? 3,93,62,000.00",41.44%,54.49%,29.66%,12.23%
Enphase Energy,ENPH,"? 5,38,55,000.00","? 4,72,94,000.00","? 2,43,41,000.00","? 4,83,87,000.00","? 1,08,54,000.00","? 1,08,54,000.00","? 59,52,000.00","? 65,61,000.00","? 12,55,38,000.00","? 11,46,84,000.00","? 7,71,51,000.00","? 4,72,94,000.00",-97.74%,22.43%,50.30%,12.18%
Entergy,ETR,"? 2,43,90,000.00","? 59,74,000.00","? 14,56,91,000.00","? 1,11,88,17,000.00","? 36,46,09,000.00","? 36,46,09,000.00","? 22,49,68,000.00","? 1,84,16,000.00","? 2,82,20,70,000.00","? 2,45,74,61,000.00","? 1,70,32,53,000.00","? 59,74,000.00",-0.53%,32.59%,13.02%,75.51%
Entergy,ETR,"? 40,05,07,000.00","? 33,45,65,000.00","? 3,17,39,000.00","? 1,21,34,12,000.00","? 47,95,31,000.00","? 47,95,31,000.00","? 21,05,14,000.00","? 6,59,42,000.00","? 2,84,48,38,000.00","? 2,36,53,07,000.00","? 1,63,14,26,000.00","? 33,45,65,000.00",27.57%,39.52%,2.62%,16.46%
Entergy,ETR,"? 9,90,96,000.00","? 38,79,68,000.00","? 16,53,27,000.00","? 96,84,32,000.00","? 39,87,29,000.00","? 39,87,29,000.00","? 21,24,11,000.00","? 28,88,72,000.00","? 2,37,01,02,000.00","? 1,97,13,73,000.00","? 1,40,16,70,000.00","? 38,79,68,000.00",40.06%,41.17%,-17.07%,-291.51%
Entergy,ETR,"? 67,05,63,000.00","? 52,11,19,000.00","? 7,63,41,000.00","? 1,42,12,55,000.00","? 70,61,36,000.00","? 70,61,36,000.00","? 21,24,39,000.00","? 14,94,44,000.00","? 2,90,35,68,000.00","? 2,19,74,32,000.00","? 1,48,23,13,000.00","? 52,11,19,000.00",36.67%,49.68%,5.37%,22.29%
EOG Resources,EOG,"? 1,12,40,00,000.00","? 90,70,00,000.00","? 12,00,00,000.00","? 2,91,20,00,000.00","? 1,12,10,00,000.00","? 1,12,10,00,000.00","? 4,50,00,000.00","? 21,70,00,000.00","? 4,51,50,00,000.00","? 3,39,40,00,000.00","? 1,60,30,00,000.00","? 90,70,00,000.00",31.15%,38.50%,4.12%,19.31%
EOG Resources,EOG,"? 88,10,00,000.00","? 67,70,00,000.00","? 11,00,00,000.00","? 2,61,80,00,000.00","? 93,90,00,000.00","? 93,90,00,000.00","? 4,70,00,000.00","? 20,40,00,000.00","? 4,06,70,00,000.00","? 3,12,80,00,000.00","? 1,44,90,00,000.00","? 67,70,00,000.00",25.86%,35.87%,4.20%,23.16%
EOG Resources,EOG,"? 42,77,60,000.00","? 33,74,66,000.00","? 11,32,35,000.00","? 1,70,40,77,000.00","? 85,28,26,000.00","? 85,28,26,000.00","? 5,31,21,000.00","? 9,02,94,000.00","? 2,90,17,94,000.00","? 2,04,89,68,000.00","? 1,19,77,17,000.00","? 33,74,66,000.00",19.80%,50.05%,6.64%,21.11%
EOG Resources,EOG,"? 5,25,55,000.00","? 4,24,67,000.00","? 12,44,60,000.00","? 1,27,65,67,000.00","? 6,82,62,000.00","? 6,82,62,000.00","? 5,32,42,000.00","? 1,00,88,000.00","? 2,32,04,38,000.00","? 2,25,21,76,000.00","? 1,04,38,71,000.00","? 4,24,67,000.00",-3.33%,5.35%,9.75%,19.20%
Equifax,EFX,"? 27,71,00,000.00","? 21,51,00,000.00","? 32,84,00,000.00","? 75,18,00,000.00","? 30,60,00,000.00","? 30,60,00,000.00","? 3,49,00,000.00","? 6,12,00,000.00","? 1,23,48,00,000.00","? 92,88,00,000.00","? 48,30,00,000.00","? 21,59,00,000.00",28.61%,40.70%,43.68%,22.37%
Equifax,EFX,"? 26,85,00,000.00","? 20,16,00,000.00","? 30,88,00,000.00","? 72,97,00,000.00","? 30,66,00,000.00","? 30,66,00,000.00","? 3,72,00,000.00","? 6,56,00,000.00","? 1,21,30,00,000.00","? 90,64,00,000.00","? 48,33,00,000.00","? 20,29,00,000.00",27.63%,42.02%,42.32%,24.92%
Equifax,EFX,"? 11,16,00,000.00","? 8,74,00,000.00","? 34,44,00,000.00","? 63,75,00,000.00","? 19,16,00,000.00","? 19,16,00,000.00","? 3,69,00,000.00","? 2,10,00,000.00","? 1,11,84,00,000.00","? 92,68,00,000.00","? 48,09,00,000.00","? 9,06,00,000.00",13.71%,30.05%,54.02%,21.68%
Equifax,EFX,"? 30,04,00,000.00","? 22,42,00,000.00","? 33,20,00,000.00","? 63,51,00,000.00","? 20,24,00,000.00","? 20,24,00,000.00","? 3,74,00,000.00","? 7,54,00,000.00","? 1,06,83,00,000.00","? 86,59,00,000.00","? 43,32,00,000.00","? 22,50,00,000.00",35.30%,31.87%,52.28%,25.37%
Equinix,EQIX,"? 4,99,60,000.00","? 6,83,39,000.00","? 50,76,15,000.00","? 79,27,99,000.00","? 28,51,84,000.00","? 28,51,84,000.00","? 8,72,31,000.00","? 1,85,27,000.00","? 1,65,79,19,000.00","? 1,37,27,35,000.00","? 86,51,20,000.00","? 6,84,87,000.00",8.62%,35.97%,64.03%,-36.79%
Equinix,EQIX,"? 18,87,02,000.00","? 15,63,62,000.00","? 48,42,83,000.00","? 78,48,47,000.00","? 30,05,64,000.00","? 30,05,64,000.00","? 8,96,81,000.00","? 3,26,28,000.00","? 1,59,60,64,000.00","? 1,29,55,00,000.00","? 81,12,17,000.00","? 15,60,74,000.00",19.92%,38.30%,61.70%,17.14%
Equinix,EQIX,"? 9,22,40,000.00","? 5,09,94,000.00","? 48,01,99,000.00","? 74,11,70,000.00","? 26,09,71,000.00","? 26,09,71,000.00","? 9,09,12,000.00","? 4,13,04,000.00","? 1,57,19,05,000.00","? 1,31,09,34,000.00","? 83,07,35,000.00","? 5,09,36,000.00",6.88%,35.21%,64.79%,44.72%
Equinix,EQIX,"? 9,67,34,000.00","? 6,66,87,000.00","? 45,20,77,000.00","? 74,93,14,000.00","? 29,72,37,000.00","? 29,72,37,000.00","? 9,97,36,000.00","? 2,99,03,000.00","? 1,51,72,93,000.00","? 1,22,00,56,000.00","? 76,79,79,000.00","? 6,68,31,000.00",8.90%,39.67%,60.33%,31.06%
Equity Residential,EQR,"? 32,82,82,000.00","? 31,63,86,000.00","? 1,46,78,000.00","? 36,84,57,000.00","? 15,31,06,000.00","? 15,31,06,000.00","? 6,90,63,000.00","? 2,42,000.00","? 59,80,59,000.00","? 44,49,53,000.00","? 22,96,02,000.00","? 32,80,40,000.00",85.87%,41.55%,3.98%,3.62%
Equity Residential,EQR,"? 6,05,17,000.00","? 5,75,39,000.00","? 1,53,83,000.00","? 35,09,48,000.00","? 13,56,03,000.00","? 13,56,03,000.00","? 6,95,43,000.00","? 1,53,000.00","? 59,76,02,000.00","? 46,19,99,000.00","? 24,66,54,000.00","? 6,03,64,000.00",16.40%,38.64%,4.38%,4.92%
Equity Residential,EQR,"? 26,33,34,000.00","? 25,28,56,000.00","? 1,10,93,000.00","? 38,99,39,000.00","? 17,70,17,000.00","? 17,70,17,000.00","? 11,94,10,000.00","? 3,50,000.00","? 61,34,35,000.00","? 43,64,18,000.00","? 22,34,96,000.00","? 26,29,84,000.00",64.85%,45.40%,2.84%,3.98%
Equity Residential,EQR,"? 9,56,27,000.00","? 9,12,86,000.00","? 1,08,59,000.00","? 39,38,99,000.00","? 18,24,35,000.00","? 18,24,35,000.00","? 8,29,75,000.00","? 2,62,000.00","? 62,24,33,000.00","? 43,99,98,000.00","? 22,85,34,000.00","? 9,53,65,000.00",23.17%,46.32%,2.76%,4.54%
Essex Property Trust,ESS,"? 6,96,15,000.00","? 6,48,46,000.00","? 1,22,22,000.00","? 25,25,87,000.00","? 11,16,29,000.00","? 11,16,29,000.00","? 5,09,71,000.00",? 0.00,"? 36,92,26,000.00","? 25,75,97,000.00","? 11,66,39,000.00","? 6,96,15,000.00",25.67%,44.19%,4.84%,6.85%
Essex Property Trust,ESS,"? 17,69,49,000.00","? 16,84,44,000.00","? 98,12,000.00","? 25,26,95,000.00","? 11,42,96,000.00","? 11,42,96,000.00","? 5,16,49,000.00",? 0.00,"? 37,21,36,000.00","? 25,78,40,000.00","? 11,94,41,000.00","? 17,69,49,000.00",66.66%,45.23%,3.88%,4.81%
Essex Property Trust,ESS,"? 10,16,49,000.00","? 9,57,45,000.00","? 2,31,44,000.00","? 25,30,71,000.00","? 9,98,00,000.00","? 9,98,00,000.00","? 5,56,09,000.00",? 0.00,"? 36,97,33,000.00","? 26,99,33,000.00","? 11,66,62,000.00","? 10,16,49,000.00",37.83%,39.44%,9.15%,5.81%
Essex Property Trust,ESS,"? 7,88,42,000.00","? 7,36,61,000.00","? 1,33,10,000.00","? 26,47,55,000.00","? 12,12,43,000.00","? 12,12,43,000.00","? 5,54,30,000.00",? 0.00,"? 38,57,71,000.00","? 26,45,28,000.00","? 12,10,16,000.00","? 7,88,42,000.00",27.82%,45.79%,5.03%,6.57%
Estée Lauder Companies,EL,"? 1,05,00,00,000.00","? 1,01,80,00,000.00","? 2,60,40,00,000.00","? 2,95,10,00,000.00","? 34,70,00,000.00","? 34,70,00,000.00","? 4,20,00,000.00","? 3,50,00,000.00","? 3,93,60,00,000.00","? 3,58,90,00,000.00","? 98,50,00,000.00","? 1,01,50,00,000.00",34.50%,11.76%,88.24%,3.05%
Estée Lauder Companies,EL,"? 58,00,00,000.00","? 45,60,00,000.00","? 2,05,00,00,000.00","? 2,92,90,00,000.00","? 87,90,00,000.00","? 87,90,00,000.00","? 4,30,00,000.00","? 12,20,00,000.00","? 3,86,40,00,000.00","? 2,98,50,00,000.00","? 93,50,00,000.00","? 45,80,00,000.00",15.57%,30.01%,69.99%,21.38%
Estée Lauder Companies,EL,"? 1,03,00,00,000.00","? 87,30,00,000.00","? 2,59,90,00,000.00","? 3,77,10,00,000.00","? 1,17,20,00,000.00","? 1,17,20,00,000.00","? 4,30,00,000.00","? 15,30,00,000.00","? 4,85,30,00,000.00","? 3,68,10,00,000.00","? 1,08,20,00,000.00","? 87,70,00,000.00",23.15%,31.08%,68.92%,15.24%
Estée Lauder Companies,EL,"? 67,10,00,000.00","? 52,30,00,000.00","? 2,02,90,00,000.00","? 2,74,00,00,000.00","? 71,10,00,000.00","? 71,10,00,000.00","? 4,50,00,000.00","? 14,60,00,000.00","? 3,56,20,00,000.00","? 2,85,10,00,000.00","? 82,20,00,000.00","? 52,50,00,000.00",19.09%,25.95%,74.05%,22.06%
Etsy,ETSY,"? 8,57,54,000.00","? 9,82,54,000.00","? 21,91,29,000.00","? 37,99,31,000.00","? 9,90,49,000.00","? 9,90,49,000.00","? 18,82,000.00","? 1,25,00,000.00","? 52,89,00,000.00","? 42,98,51,000.00","? 14,89,69,000.00","? 9,82,54,000.00",25.86%,26.07%,57.68%,-14.58%
Etsy,ETSY,"? 15,77,28,000.00","? 14,37,66,000.00","? 20,33,86,000.00","? 40,77,29,000.00","? 15,06,37,000.00","? 15,06,37,000.00","? 16,85,000.00","? 1,39,62,000.00","? 55,06,46,000.00","? 40,00,09,000.00","? 14,29,17,000.00","? 14,37,66,000.00",35.26%,36.95%,49.88%,8.85%
Etsy,ETSY,"? 15,33,07,000.00","? 14,85,38,000.00","? 25,39,80,000.00","? 46,65,75,000.00","? 16,14,38,000.00","? 16,14,38,000.00","? 1,14,17,000.00","? 47,69,000.00","? 61,73,55,000.00","? 45,59,17,000.00","? 15,07,80,000.00","? 14,85,38,000.00",31.84%,34.60%,54.43%,3.11%
Etsy,ETSY,"? 9,03,93,000.00","? 9,17,61,000.00","? 16,68,41,000.00","? 33,13,10,000.00","? 11,85,61,000.00","? 11,85,61,000.00","? 1,06,15,000.00","? 13,68,000.00","? 45,14,78,000.00","? 33,29,17,000.00","? 12,01,68,000.00","? 9,17,61,000.00",27.70%,35.79%,50.36%,-1.51%
Everest Re,RE,"? 76,01,81,000.00","? 67,99,82,000.00","? 1,61,68,000.00","? 79,19,56,000.00","? 77,57,88,000.00","? 77,57,88,000.00","? 1,56,07,000.00","? 8,01,99,000.00","? 3,07,66,90,000.00","? 2,30,09,02,000.00","? 2,28,47,34,000.00","? 67,99,82,000.00",85.86%,97.96%,2.04%,10.55%
Everest Re,RE,"? 37,30,95,000.00","? 34,18,62,000.00","? 1,23,78,000.00","? 34,93,12,000.00","? 33,69,34,000.00","? 33,69,34,000.00","? 1,56,39,000.00","? 3,12,33,000.00","? 2,69,19,73,000.00","? 2,35,50,39,000.00","? 2,34,26,61,000.00","? 34,18,62,000.00",97.87%,96.46%,3.54%,8.37%
Everest Re,RE,"? 11,93,96,000.00","? 6,36,02,000.00","? 1,19,34,000.00","? 19,13,76,000.00","? 17,94,42,000.00","? 17,94,42,000.00","? 1,48,46,000.00","? 5,57,94,000.00","? 2,80,65,99,000.00","? 2,62,71,57,000.00","? 2,61,52,23,000.00","? 6,36,02,000.00",33.23%,93.76%,6.24%,46.73%
Everest Re,RE,"? 27,25,08,000.00","? 24,30,57,000.00","? 1,06,18,000.00","? 22,83,67,000.00","? 21,77,49,000.00","? 21,77,49,000.00","? 66,41,000.00","? 2,94,51,000.00","? 2,54,87,84,000.00","? 2,33,10,35,000.00","? 2,32,04,17,000.00","? 24,30,57,000.00",106.43%,95.35%,4.65%,10.81%
